#separator:pipe
#html:false
#deck:JLPT N1 漢字
#notetype:Ikoma Kanji
亜熱帯|あねったい|subtropical|あの国は{{c1::亜熱帯}}気候だ。
狂って|くるって|to go mad; to be out of order|この時計は{{c1::狂って}}いる。
享受|きょうじゅ|enjoyment; receiving|人類が平和を{{c1::享受}}できるように。
名声を享受する|めいせいをきょうじゅする|to enjoy fame|彼は{{c1::名声を享受する}}。
海峡|かいきょう|strait|ドーバー{{c1::海峡}}を渡ってフランスへ行った。
恭順|きょうじゅん|submission; obedience|社長に{{c1::恭順}}の意を表す。
恭しい|うやうやしい|respectful|接客態度はとても恭しかった。
脅迫状|きょうはくじょう|threatening letter|犯人は{{c1::脅迫状}}を送ってきた。
脅かした|おどかした|to frighten; to scare|友達をそっと{{c1::脅かした}}。
故郷|こきょう|hometown|高校を卒業後、{{c1::故郷}}を離れた。
郷里|きょうり|hometown; birthplace|三十年ぶりに{{c1::郷里}}を訪れた。
矯正|きょうせい|correction; rectification|歯並びの{{c1::矯正}}には時間がかかる。
矯めた|ためた|to straighten; to bend|盆栽の枝を針金で{{c1::矯めた}}。
望遠鏡|ぼうえんきょう|telescope|{{c1::望遠鏡}}で東京の街を眺めた。
鏡を磨く|かがみをみがく|to polish a mirror|鏡を磨いた。
反響|はんきょう|reaction; echo|製品は{{c1::反響}}を呼んだ。
響く|ひびく|to echo; to resonate|上の階の足音が{{c1::響く}}。
驚異的|きょういてき|astonishing; phenomenal|{{c1::驚異的}}な強さで優勝した。
驚いた|おどろいた|was surprised|子どもが突然泣き出したので{{c1::驚いた}}。
信仰|しんこう|faith; belief|{{c1::信仰}}を持つ。
仰天|ぎょうてん|being greatly surprised|びっくり{{c1::仰天}}した。
仰せ|おおせ|command (honorific)|{{c1::仰せ}}のとおりです。
仰ぐ|あおぐ|to look up to; to seek|指示を{{c1::仰ぐ}}。
暁星|ぎょうせい|morning star|空に{{c1::暁星}}が輝く。
暁|あかつき|dawn|美しい{{c1::暁}}の空。
凝視した|ぎょうしした|stared at; gazed|テレビの画面を{{c1::凝視した}}。
凝っている|こっている|to be absorbed in|父は釣りに{{c1::凝っている}}。
殺菌効果|さっきんこうか|germicidal effect|{{c1::殺菌効果}}のある石けんを使う。
細菌学|さいきんがく|bacteriology|彼は{{c1::細菌学}}の研究をしている。
木琴|もっきん|xylophone|日本料理店で{{c1::木琴}}の音が流れていた。
琴|こと|koto (Japanese harp)|彼女は{{c1::琴}}を演奏する。
鉄筋|てっきん|reinforced concrete|{{c1::鉄筋}}コンクリートの家を新築した。
筋|すじ|muscle; storyline|あの人の話は{{c1::筋}}が通っていない。
緊張|きんちょう|nervousness|彼は{{c1::緊張}}した顔つきで会議室に入ってきた。
緊迫|きんぱく|tension|国際情勢が{{c1::緊迫}}している。
謹慎|きんしん|house arrest; disciplinary action|会社での不正が発覚し、自宅{{c1::謹慎}}になった。
謹んで|つつしんで|humbly; respectfully|{{c1::謹んで}}お詫び申し上げます。
開襟シャツ|かいきんしゃつ|open-collar shirt|夏は{{c1::開襟シャツ}}を着る人が多い。
襟|えり|collar|寒いのでコートの{{c1::襟}}を立てた。
吟味|ぎんみ|careful selection|料理の材料を{{c1::吟味}}する。
吟じる|ぎんじる|to chant; to recite|詩を{{c1::吟じる}}。
句読点|くとうてん|punctuation|{{c1::句読点}}に注意して文章を書く。
文句|もんく|complaint|隣の部屋がうるさいので{{c1::文句}}を言った。
駆使|くし|freely use|さまざまな道具を{{c1::駆使}}して家具を作った。
駆け|かけ|to run|運動場を{{c1::駆け}}まわる。
愚痴|ぐち|grumble; complaint|つらくても{{c1::愚痴}}をこぼさない。
愚かな|おろかな|foolish|あんなことをするなんて{{c1::愚かな}}人だ。
奇遇|きぐう|unexpected meeting|こんなところで会うとは{{c1::奇遇}}だねえ。
待遇|たいぐう|treatment; working conditions|労働者たちは{{c1::待遇}}の改善を要求した。
退屈な|たいくつな|boring|仕事を辞めてから{{c1::退屈な}}毎日だ。
屈折|くっせつ|bending; warping|彼の心は{{c1::屈折}}している。
繰り返し|くりかえし|repetition|失敗を{{c1::繰り返し}}ながら成長していく。
繰り上げて|くりあげて|to move up (a schedule)|旅行の日程を一日{{c1::繰り上げて}}帰宅した。
薫風|くんぷう|balmy breeze|{{c1::薫風}}に誘われてピクニックに出かけた。
風薫る|かぜかおる|breezy and fragrant|{{c1::風薫る}}季節になりました。
刑事|けいじ|detective|{{c1::刑事}}になりたいと思っている。
終身刑|しゅうしんけい|life imprisonment|裁判官は{{c1::終身刑}}を言い渡した。
文科系|ぶんかけい|humanities field|大学は{{c1::文科系}}を受験するつもりです。
系列|けいれつ|affiliation; group|この会社はA社の{{c1::系列}}です。
半径|はんけい|radius|{{c1::半径}}の2倍が直径だ。
直径|ちょっけい|diameter|半径の2倍が{{c1::直径}}だ。
地下茎|ちかけい|underground stem|じゃがいもは、{{c1::地下茎}}のある植物です。
茎|くき|stem|台風で花の{{c1::茎}}が折れてしまった。
契約|けいやく|contract|新しい部屋を{{c1::契約}}した。
契り|ちぎり|pledge; vow|彼らは将来の{{c1::契り}}を結んだ。
恩恵|おんけい|benefit; blessing|現代人は科学の{{c1::恩恵}}を受けている。
知恵|ちえ|wisdom|全員で{{c1::知恵}}を出し合う。
恵み|めぐみ|blessing; grace|雨は天の{{c1::恵み}}だ。
拝啓|はいけい|Dear Sir/Madam (letter opening)|{{c1::拝啓}}、秋も深まってきましたが…。
啓示|けいじ|revelation|神の{{c1::啓示}}。
掲示板|けいじばん|bulletin board|{{c1::掲示板}}に試験の日程表が貼ってあった。
掲げる|かかげる|to raise; to post|オリンピック出場を目標に{{c1::掲げる}}。
渓流|けいりゅう|mountain stream|{{c1::渓流}}を渡った。
渓谷|けいこく|valley|深い{{c1::渓谷}}に橋を架けるのは難しい。
蛍光灯|けいこうとう|fluorescent light|{{c1::蛍光灯}}を使っているオフィスが多い。
蛍|ほたる|firefly|{{c1::蛍}}を見たことがありますか。
携帯電話|けいたいでんわ|mobile phone|{{c1::携帯電話}}を持っている人が増えている。
携えて|たずさえて|to carry in hand|ラジオを{{c1::携えて}}登山する。
継続|けいぞく|continuation|英会話のコースを{{c1::継続}}して受講する。
継いで|ついで|to succeed; to take over|父のあとを{{c1::継いで}}医者になった。
慶事|けいじ|happy event|息子の結婚、娘の出産と{{c1::慶事}}が続いた。
休憩室|きゅうけいしつ|break room|{{c1::休憩室}}でゆっくり話しましょう。
憩う|いこう|to rest|友達と公園で{{c1::憩う}}。
養鶏場|ようけいじょう|poultry farm|父は{{c1::養鶏場}}で働いている。
鶏|にわとり|chicken|私の家では{{c1::鶏}}を飼っている。
滑稽な|こっけいな|funny; ridiculous|あの人が社長だなんて、{{c1::滑稽な}}話だ。
稽古日|けいこび|training/practice day|今日はお茶の{{c1::稽古日}}です。
捕鯨船|ほげいせん|whaling ship|{{c1::捕鯨船}}も少なくなった。
鯨|くじら|whale|{{c1::鯨}}が泳いでいるのを見たことがありますか。
打撃|だげき|blow; damage|台風で農家は大きな{{c1::打撃}}を受けた。
撃たれて|うたれて|was shot|ピストルで{{c1::撃たれて}}死んだ。
感激|かんげき|deep emotion; impression|その話を聞いて{{c1::感激}}した。
急激に|きゅうげきに|suddenly; rapidly|物価が{{c1::急激に}}上がった。
激しく|はげしく|intensely|雨が{{c1::激しく}}降り出した。
洞穴|どうけつ|cave; cavern|山の側に{{c1::洞穴}}ができていた。
穴|あな|hole|針の{{c1::穴}}に糸を通した。
豪傑|ごうけつ|hero; strong person|彼は{{c1::豪傑}}だ。
傑作|けっさく|masterpiece|この絵画は今世紀最大の{{c1::傑作}}だ。
清潔な|せいけつな|clean|{{c1::清潔な}}衣類を身につける。
簡潔に|かんけつに|briefly|用件を{{c1::簡潔に}}伝える。
潔く|いさぎよく|gracefully; bravely|{{c1::潔く}}謝ったほうがいい。
倹約家|けんやくか|thrifty person|彼は{{c1::倹約家}}だ。
兼任|けんにん|concurrent post|営業部長と宣伝部長を{{c1::兼任}}する。
兼ねて|かねて|also serve as|クラス委員がクラス会の議長も{{c1::兼ねて}}いる。
剣道部|けんどうぶ|kendo club|{{c1::剣道部}}に入っている。
剣|つるぎ|sword|弥生時代の{{c1::剣}}が遺跡から発見された。
健康|けんこう|health|{{c1::健康}}に注意しよう。
健在|けんざい|being in good health|両親とも{{c1::健在}}だ。
健やかに|すこやかに|healthily|{{c1::健やかに}}お過ごしでしょうか。
首都圏|しゅとけん|capital region|{{c1::首都圏}}の交通情報をお知らせします。
合格圏内|ごうかくけんない|within passing range|今のあなたの成績なら、{{c1::合格圏内}}だ。
嫌悪感|けんおかん|feeling of disgust|彼に{{c1::嫌悪感}}を覚える。
機嫌|きげん|mood|父の{{c1::機嫌}}をとる。
嫌われる|きらわれる|to be disliked|{{c1::嫌われる}}仕事。
嫌がって|いやがって|to dislike|彼女が{{c1::嫌がって}}いる。
参考文献|さんこうぶんけん|reference|{{c1::参考文献}}を論文の最後に書いてください。
献立|こんだて|menu; meal plan|毎日の{{c1::献立}}を考えるのも大変だ。
正絹|しょうけん|pure silk|{{c1::正絹}}の着物を桐の箱にしまう。
絹|きぬ|silk|{{c1::絹}}のシャツは肌ざわりがいい。
派遣|はけん|dispatch|政府から{{c1::派遣}}され、A国で技術指導をしている。
小遣い|こづかい|pocket money|祖父から{{c1::小遣い}}をもらった。
憲法|けんぽう|constitution|{{c1::憲法}}を守らなければならない。
謙譲語|けんじょうご|humble language|{{c1::謙譲語}}はむずかしい。
謙虚|けんきょ|modesty; humility|彼は常に{{c1::謙虚}}だ。
顕微鏡|けんびきょう|microscope|{{c1::顕微鏡}}で微生物を見た。
自己顕示欲|じこけんじよく|desire to show off|彼は{{c1::自己顕示欲}}が強い。
懸賞|けんしょう|prize|{{c1::懸賞}}に応募する。
懸念|けねん|concern; fear|開発には自然破壊の{{c1::懸念}}がある。
懸ける|かける|to hang; to risk|はしごを屋根に{{c1::懸ける}}。
喧騒|けんそう|bustle; noise|都会の{{c1::喧騒}}をのがれて田舎に行く。
喧嘩|けんか|fight; quarrel|友達と{{c1::喧嘩}}をした。
幻想|げんそう|illusion; fantasy|{{c1::幻想}}を抱く。
幻|まぼろし|phantom; illusion|{{c1::幻}}を見たのかと思った。
玄関|げんかん|entrance; foyer|{{c1::玄関}}に誰か来た。
玄人|くろうと|expert; professional|{{c1::玄人}}の目はごまかせない。
弦楽器|げんがっき|string instrument|バイオリンやギターなどを{{c1::弦楽器}}という。
弦を張る|げんをはる|to string (an instrument)|琴に{{c1::弦を張る}}。
天然資源|てんねんしげん|natural resources|日本は{{c1::天然資源}}がとぼしい国だ。
源を発している|みなもとをはっしている|originates from|発生川は岩手県の山地に{{c1::源を発している}}。
厳重|げんじゅう|strict; severe|{{c1::厳重}}に注意した。
厳しい|きびしい|strict; intense|寒さが{{c1::厳しい}}。
自己紹介|じこしょうかい|self-introduction|{{c1::自己紹介}}をした。
知己|ちき|acquaintance|多くの同好の{{c1::知己}}を得る。
己|おのれ|oneself|{{c1::己}}をふりかえってみる。
孤独|こどく|loneliness|都会での生活は、ときどき{{c1::孤独}}を感じる。
孤立|こりつ|isolation|彼は{{c1::孤立}}している。
括弧|かっこ|parentheses|「」の符号は{{c1::括弧}}と読みます。
弧状|こじょう|arc-shaped|湖が{{c1::弧状}}に広がる。
故障|こしょう|breakdown|買ってすぐ{{c1::故障}}してしまった。
故に|ゆえに|therefore; consequently|少しさの{{c1::故に}}過ちを犯した。
誇示|こじ|display; ostentation|国は武力を{{c1::誇示}}した。
誇る|ほこる|to be proud of|彼は世界に{{c1::誇る}}建築家だ。
鼓膜|こまく|eardrum|{{c1::鼓膜}}が破れるほどの音楽が鳴り響いた。
舌鼓|したづつみ|smack lips (at good food)|おいしい海鮮料理に{{c1::舌鼓}}を打った。
顧客|こきゃく|customer|{{c1::顧客}}にファッションショーの案内状を送った。
顧みる|かえりみる|to reflect on; to look back|自分の人生を{{c1::顧みる}}。
呉服屋|ごふくや|kimono shop|この着物は駅前の{{c1::呉服屋}}でつくりました。
娯楽番組|ごらくばんぐみ|entertainment show|日曜日は家で{{c1::娯楽番組}}を見ながら過ごす。
覚悟|かくご|resolution; preparedness|失敗を{{c1::覚悟}}でやってみた。
悟る|さとる|to perceive; to realize|象は死期を{{c1::悟る}}と群れから離れる。
碁|ご|go (board game)|祖父の趣味は{{c1::碁}}を打つことだ。
囲碁|いご|go (strategy board game)|彼は{{c1::囲碁}}の名人だ。
弁護士|べんごし|lawyer|将来は{{c1::弁護士}}になりたい。
保護|ほご|protection|絶滅寸前の動物を{{c1::保護}}した。
公然|こうぜん|open; public|二十歳になれば{{c1::公然}}と酒が飲める。
公|おおやけ|public|{{c1::公}}の場での発言には注意が必要だ。
瞳孔|どうこう|pupil (of eye)|{{c1::瞳孔}}が開いていて危険な状態だった。
成功|せいこう|success|新製品の開発に{{c1::成功}}した。
功徳|くどく|merit; good deeds|{{c1::功徳}}を積んだお坊さんの話に感動した。
巧妙|こうみょう|clever; skillful|{{c1::巧妙}}な手口で女性をだました。
巧み|たくみ|skillful|{{c1::巧み}}な話術で関心を引きつける。
甲殻類|こうかくるい|crustaceans|エビやカニなどは{{c1::甲殻類}}だ。
甲板|かんぱん|deck (of a ship)|{{c1::甲板}}に出て、写真をとった。
揚子江|ようすこう|Yangtze River|中国旅行で{{c1::揚子江}}を見る。
江戸時代|えどじだい|Edo period|今日の歴史の授業は{{c1::江戸時代}}についてだ。
炭坑|たんこう|coal mine|{{c1::炭坑}}の出入り口で事故があったそうだ。
孝行息子|こうこうむすこ|dutiful son|彼は親思いの{{c1::孝行息子}}だ。
抗議|こうぎ|protest|一方的な役所からの通知に{{c1::抗議}}した。
対抗|たいこう|competition; opposition|クラス{{c1::対抗}}の野球の試合がある。
専攻|せんこう|major (subject)|大学で西洋史を{{c1::専攻}}している。
攻めて|せめて|to attack|真正面から{{c1::攻めて}}こい。
拘束|こうそく|restraint; detention|容疑者は警察に身柄を{{c1::拘束}}された。
恒例|こうれい|annual event|毎年6月に研修旅行を行うのが{{c1::恒例}}だ。
洪水|こうずい|flood|{{c1::洪水}}に見舞われた。
貢献|こうけん|contribution|チームの優勝に{{c1::貢献}}する。
貢いだ|みついだ|to support financially|彼は権力者に品物を{{c1::貢いだ}}。
健康|けんこう|health|金よりも{{c1::健康}}が大切だ。
控除|こうじょ|deduction|税金を{{c1::控除}}する。
控えた|ひかえた|refrained from|退院後も、塩分を{{c1::控えた}}食事を心がけてください。
金融恐慌|きんゆうきょうこう|financial panic|{{c1::金融恐慌}}を引き起こす。
慌ただしく|あわただしく|hurriedly|朝寝坊して{{c1::慌ただしく}}家を出た。
絞殺死体|こうさつしたい|strangled corpse|{{c1::絞殺死体}}が発見された。
絞る|しぼる|to narrow down; to squeeze|狙いを{{c1::絞る}}。
絞める|しめる|to strangle|自分の首を{{c1::絞める}}ような発言だ。
項目別|こうもくべつ|by item|資料を{{c1::項目別}}に整理する。
入試要項|にゅうしようこう|entrance exam guide|大学の{{c1::入試要項}}を取り寄せた。
排水溝|はいすいこう|drain|{{c1::排水溝}}の掃除をした。
溝|みぞ|ditch; gap|意見の違いから二人の間に{{c1::溝}}ができた。
綱領|こうりょう|platform; policy|党の{{c1::綱領}}を発表した。
綱引き|つなひき|tug of war|運動会では{{c1::綱引き}}に出場した。
発酵|はっこう|fermentation|米を{{c1::発酵}}させて日本酒を造る。
原稿用紙|げんこうようし|manuscript paper|{{c1::原稿用紙}}に作文を書く。
投稿|とうこう|submission|私が{{c1::投稿}}した記事が雑誌に掲載された。
興奮|こうふん|excitement|コンサートに{{c1::興奮}}する。
興味|きょうみ|interest|心理学に{{c1::興味}}がある。
興す|おこす|to start (a business)|新しい会社を{{c1::興す}}。
均衡|きんこう|balance|需要と供給の{{c1::均衡}}が崩れる。
鉄工所|てっこうじょ|steel mill|父は{{c1::鉄工所}}を経営している。
鋼|はがね|steel|刃物には固くて強い{{c1::鋼}}が使われるそうだ。
購入|こうにゅう|purchase|教科書は学校がまとめて{{c1::購入}}する。
剛健|ごうけん|robustness; strength|両親は{{c1::剛健}}な男の子になってほしいと願っている。
豪華|ごうか|luxurious|その歌手は{{c1::豪華}}な衣装でステージに現れた。
豪快|ごうかい|hearty; lively|社長は{{c1::豪快}}に笑う。
克服|こくふく|overcoming|数々の障害を{{c1::克服}}した。
克明|こくめい|detailed|彼女は子どもの成長を{{c1::克明}}に記録していた。
穀物|こくもつ|grains|食料としての{{c1::穀物}}を穀類という。
穀類|こくるい|cereals|食料としての{{c1::穀類}}を大事にする。
冷酷|れいこく|cruel; cold-hearted|彼はやさしそうに見えるが、実は{{c1::冷酷}}な男だ。
地獄|じごく|hell|爆発事故の現場はまるで{{c1::地獄}}だった。
監獄|かんごく|prison|受刑者が{{c1::監獄}}で書いた手記を発表した。
頃|ころ|time; period|若い{{c1::頃}}は徹夜しても疲れなかった。
昆虫採集|こんちゅうさいしゅう|insect collecting|子どもの頃、{{c1::昆虫採集}}をしたものです。
悔恨|かいこん|regret; remorse|{{c1::悔恨}}の念にさいなまれた。
恨む|うらむ|to resent|世の中を{{c1::恨む}}。
紺色|こんいろ|navy blue|{{c1::紺色}}のスカートをはいている人が林さんだ。
魂胆|こんたん|ulterior motive|彼女には何か{{c1::魂胆}}があるに違いない。
魂|たましい|soul|死者の{{c1::魂}}を慰める。
懇切丁寧|こんせつていねい|very kind and thorough|道を尋ねたら{{c1::懇切丁寧}}に教えてくれた。
懇ろ|ねんごろ|cordial; courteous|来客を{{c1::懇ろ}}にもてなした。
補佐|ほさ|assistance; aide|副会長は会長を{{c1::補佐}}する役である。
示唆|しさ|suggestion; hint|外務大臣は{{c1::示唆}}した。
唆された|そそのかされた|to be instigated|彼に無理を{{c1::唆された}}。
詐称|さしょう|false claim|彼は経歴を{{c1::詐称}}していた。
詐欺師|さぎし|swindler|彼女は、実は{{c1::詐欺師}}だった。
閉鎖|へいさ|closure; shutdown|事情により施設を{{c1::閉鎖}}することになった。
鎖|くさり|chain|犬を{{c1::鎖}}でつなぐ。
ご無沙汰|ごぶさた|long silence; neglecting to stay in touch|すっかり{{c1::ご無沙汰}}してしまった。
沙汰|さた|news; affair|地獄の{{c1::沙汰}}も金次第といわれる。
災害|さいがい|disaster|{{c1::災害}}には天災だけではなく、火災もある。
天災|てんさい|natural disaster|地震や台風などの{{c1::天災}}に備える。
人災|じんさい|man-made disaster|{{c1::人災}}による被害も無視できない。
災い|わざわい|misfortune; calamity|自然も時には人間に{{c1::災い}}をもたらす。
砕石機|さいせきき|rock crusher|{{c1::砕石機}}を使って作業を進めた。
砕いた|くだいた|crushed|{{c1::砕いた}}氷を使って冷やした。
主宰|しゅさい|organizer; preside over|彼は若いながらも劇団を{{c1::主宰}}している。
盆栽|ぼんさい|bonsai|{{c1::盆栽}}をいじることが祖父の楽しみの一つだ。
水彩画|すいさいが|watercolor painting|彼の描く{{c1::水彩画}}は色彩が鮮やかだ。
色彩|しきさい|color; hue|美しい花が室内を彩っている。
彩って|いろどって|to color; to decorate|花が祭壇を{{c1::彩って}}いる。
書斎|しょさい|study room|父の{{c1::書斎}}には本が並んでいる。
独裁政治|どくさいせいじ|dictatorship|その国はいまだに{{c1::独裁政治}}が続いている。
裁って|たって|to cut|生地を{{c1::裁って}}服を作る。
裁く|さばく|to judge|罪を{{c1::裁く}}。
債権者|さいけんしゃ|creditor|倒産した会社に{{c1::債権者}}が押しかけた。
負債|ふさい|debt|{{c1::負債}}を返済するために働いている。
開催|かいさい|holding (a meeting, event)|オリンピックは4年ごとに{{c1::開催}}される。
催す|もよおす|to host; to hold|歓迎会を{{c1::催す}}。
掲載|けいさい|publication; appearance in print|記事が新聞に{{c1::掲載}}された。
載って|のって|to be mentioned; to be printed|その言葉は辞書にも{{c1::載って}}いなかった。
錠剤|じょうざい|tablet (medicine)|ビタミンの{{c1::錠剤}}を毎日飲んでいる。
調剤薬局|ちょうざいやっきょく|pharmacy|兄は{{c1::調剤薬局}}に勤めている。
削減|さくげん|reduction|経費の{{c1::削減}}のために工夫している。
削った|けずった|sharpened; scraped|ナイフで鉛筆を{{c1::削った}}。
捜索|そうさく|search (for a missing person or item)|行方不明者の{{c1::捜索}}は続いている。
方策|ほうさく|measure; plan|具体的な{{c1::方策}}を立てる必要がある。
酢|す|vinegar|{{c1::酢}}を使った料理。
酢酸|さくさん|acetic acid|酢の酸味の主成分は{{c1::酢酸}}だ。
搾乳|さくにゅう|milking|酪農家で{{c1::搾乳}}を体験した。
搾る|しぼる|to squeeze|レモンを{{c1::搾る}}。
錯覚|さっかく|illusion; hallucination|彼女たちは姉妹かと{{c1::錯覚}}するほど似ていた。
大匙|おおさじ|tablespoon|{{c1::大匙}}一杯の油をフライパンに入れてください。
撮影会|さつえいかい|photo session|モデルを囲んで{{c1::撮影会}}が行われた。
撮る|とる|to take (a picture)|写真を{{c1::撮る}}。
経済摩擦|けいざいまさつ|economic friction|日米間の{{c1::経済摩擦}}が問題になっている。
擦る|する|to rub|マッチを{{c1::擦る}}。
靴擦れ|くつずれ|blister (from shoes)|{{c1::靴擦れ}}で足が痛い。
挨拶|あいさつ|greeting|都会では{{c1::挨拶}}しない人も多い。
爽やか|さわやか|refreshing; fresh|彼は{{c1::爽やか}}な好青年だ。
桟橋|さんばし|pier|{{c1::桟橋}}で釣りをしている人を見かけた。
養蚕業|ようさんぎょう|sericulture|おじは{{c1::養蚕業}}を営んでいる。
蚕|かいこ|silkworm|{{c1::蚕}}から絹がとれる。
大惨事|だいさんじ|great disaster|たった一人の飲酒運転が{{c1::大惨事}}を引き起こした。
惨めな|みじめな|miserable|{{c1::惨めな}}敗北だった。
傘下|さんか|affiliated with|あの会社は{{c1::傘下}}に多くの子会社を持っている。
傘|かさ|umbrella|電車に{{c1::傘}}を置き忘れた。
酸味|さんみ|acidity; sourness|タイ料理は強い{{c1::酸味}}がある。
酸い|すい|sour|祖父は{{c1::酸い}}も甘いも知っている人だ。
暫定|ざんてい|provisional|月末までに{{c1::暫定}}予算案を提出する。
紳士的|しんしてき|gentlemanly|彼はいつも{{c1::紳士的}}な態度で接する。
氏名|しめい|full name|応募用紙に{{c1::氏名}}を明記してください。
氏より育ち|うじよりそだち|upbringing over lineage|「{{c1::氏より育ち}}」とよく言われる。
司会|しかい|master of ceremonies|友人の結婚パーティーの{{c1::司会}}を頼まれた。
一矢|いっし|a retaliatory arrow|矢を報いる（＝{{c1::一矢}}を報いる）。
矢面|やおもて|line of fire|社長が{{c1::矢面}}に立たされた。
要旨|ようし|summary|講演を読んで{{c1::要旨}}をまとめる。
旨|むね|intent; purport|出欠はその{{c1::旨}}ご連絡ください。
至急|しきゅう|urgent|{{c1::至急}}、職員室へ来てください。
至る|いたる|to reach|朝早くから深夜に{{c1::至る}}まで働く。
医学部志望|いがくぶしぼう|aspiring medical student|私は{{c1::医学部志望}}です。
志して|こころざして|to aspire|画家を{{c1::志して}}フランスへ渡った。
福祉関係|ふくしかんけい|welfare-related|将来は{{c1::福祉関係}}の仕事につきたい。
選択肢|せんたくし|options; choices|{{c1::選択肢}}は二つにしかない。
姿勢|しせい|posture|私は{{c1::姿勢}}が悪いと母に注意される。
姿|すがた|appearance; figure|自分の{{c1::姿}}を鏡に映した。
施行|しこう|enforcement|新しい法律が{{c1::施行}}される。
施されて|ほどこされて|to be applied; to be decorated with|宮殿には装飾が{{c1::施されて}}いた。
視点|してん|viewpoint|物事はさまざまな{{c1::視点}}から見ることが必要だ。
紫外線|しがいせん|ultraviolet rays|5月になると{{c1::紫外線}}が強くなる。
紫色|むらさきいろ|purple|あの{{c1::紫色}}の着物はとても美しい。
詩人|しじん|poet|学生時代、{{c1::詩人}}になることを夢見ていた。
飼育|しいく|breeding; raising (animals)|動物を{{c1::飼育}}していると愛情がわく。
飼う|かう|to keep (a pet)|金魚を{{c1::飼う}}。
雌雄|しゆう|male and female|ひよこの{{c1::雌雄}}を見分ける。
雌|めす|female (animal)|お宅の犬は{{c1::雌}}ですか？
諮問機関|しもんきかん|advisory body|首相は{{c1::諮問機関}}に意見を求めた。
諮る|はかる|to consult|その企画を重役会議に{{c1::諮る}}。
侍医|じい|imperial doctor|あの大学の教授は{{c1::侍医}}もしている。
侍|さむらい|samurai|父は{{c1::侍}}の出てくる時代劇が好きだ。
滋養|じよう|nutrition|風邪の時は{{c1::滋養}}のあるものを食べるとよい。
慈善事業|じぜんじぎょう|charity work|{{c1::慈善事業}}に参加する。
慈しみ|いつくしみ|affection|草木を{{c1::慈しみ}}、手入れを怠らない。
陶磁器|とうじき|ceramics; porcelain|さまざまな国の{{c1::陶磁器}}を集めている。
𠮟られた|しかられた|was scolded|悪戯をして母に{{c1::𠮟られた}}。
掛け軸|かけじく|hanging scroll|床の間に{{c1::掛け軸}}をかけた。
軸|じく|axis; shaft|マッチの{{c1::軸}}で模型を作った。
疾患|しっかん|illness; disease|皮膚の{{c1::疾患}}には清潔が第一。
執筆|しっぴつ|writing (as a job)|原稿の{{c1::執筆}}に取りかかる。
漆器|しっき|lacquerware|{{c1::漆器}}は水洗いしないほうがいい。
漆塗り|うるしぬり|lacquer-coated|{{c1::漆塗り}}のお椀を買った。
芝|しば|turf; lawn|庭に{{c1::芝}}を植える。
芝生|しばふ|lawn|{{c1::芝生}}に寝転がって読書した。
校舎|こうしゃ|school building|{{c1::校舎}}の改築工事が行われている。
田舎|いなか|countryside|{{c1::田舎}}から出てきた。
放射能|ほうしゃのう|radioactivity|{{c1::放射能}}による大気汚染が問題になっている。
射る|いる|to shoot (an arrow)|父は矢を{{c1::射る}}。
容赦|ようしゃ|mercy; leniency|記者会見では{{c1::容赦}}ない質問が飛びかった。
傾斜|けいしゃ|slope; inclination|この坂道は{{c1::傾斜}}がかなりきつい。
斜面|しゃめん|slope|山の{{c1::斜面}}に雪が積もった。
斜め|ななめ|diagonal; slanted|道を{{c1::斜め}}に横切る。
煮沸消毒|しゃふつしょうどく|boiling sterilization|哺乳瓶は{{c1::煮沸消毒}}している。
煮る|にる|to boil; to simmer|鍋で野菜を{{c1::煮る}}。
遮光|しゃこう|light shielding|{{c1::遮光}}カーテンは光を遮る。
遮る|さえぎる|to block; to intercept|光を{{c1::遮る}}。
面会謝絶|めんかいしゃぜつ|no visitors allowed|{{c1::面会謝絶}}で会えなかった。
謝る|あやまる|to apologize|頭を下げて{{c1::謝る}}。
無邪気|むじゃき|innocence; naivety|子どもが{{c1::無邪気}}に遊んでいる。
風邪|かぜ|common cold|{{c1::風邪}}をひいてしまった。
大蛇|だいじゃ|giant snake|私は{{c1::大蛇}}が苦手です。
長蛇|ちょうだ|long line|店の前には{{c1::長蛇}}の列ができていた。
蛇|へび|snake|{{c1::蛇}}を見た。
尺度|しゃくど|scale; measure|人によって考え方の{{c1::尺度}}は違う。
巻尺|まきじゃく|tape measure|{{c1::巻尺}}で家具のサイズを測った。
晩酌|ばんしゃく|evening drink|仕事を終えて{{c1::晩酌}}をしている。
酌み交わした|くみかわした|shared drinks|久しぶりに酒を{{c1::酌み交わした}}。
解釈|かいしゃく|interpretation|どう{{c1::解釈}}するかは人によって違う。
静寂|せいじゃく|silence; stillness|この山荘は{{c1::静寂}}に包まれている。
寂しく|さびしく|lonely|一人暮らしは時には{{c1::寂しく}}なる。
朱肉|しゅにく|red ink pad|印鑑は持ってきたが{{c1::朱肉}}がなかった。
朱色|しゅいろ|vermilion|{{c1::朱色}}の風呂敷で包む。
狩猟生活|しゅりょうせいかつ|hunting life|昔の人間は{{c1::狩猟生活}}を営んでいた。
狩り|かり|hunting|父は{{c1::狩り}}に行き、鳥を三羽しとめた。
特殊|とくしゅ|special; unique|彼は{{c1::特殊}}な才能を持っていた。
殊に|ことに|particularly|今年は{{c1::殊に}}大雪だ。
