#separator:pipe
#html:false
#deck:JLPT N1 語彙
#notetype:Two Backs
〜宛[て]|〜あて|for, addresed to
追う|おう|run after, chase, pursue
応援|おうえん|aid, help, support, assist, back up
応急|おうきゅう|emergency, temporary
黄金|おうごん|gold
王様|おうさま|king, a monarch, a ruler
王子|おうじ|prince
王女|おうじょ|princess
応じる／ずる|おうじる／ずる|respond to
往診|おうしん|a call on (a patient) a (doctor's) visit
応接|おうせつ|reception
応対|おうたい|reception
横断|おうだん|crossing
横断歩道|おうだんほどう|pedestrian crossing, crosswalk, zebra crossing
往復|おうふく|round trip
欧米|おうべい|Europe and America, the West
応募|おうぼ|application, entry, subscription, response, answer
応用|おうよう|(practical) application
終える|おえる|finish, complete, close, conclude, end, get through
おお|おお|oh, ooh, ah, ugh
大〜|おお〜|big, large, loud, great, roughly
おおい|おおい|hey, oh, hello, ahoy
多い|おおい|many, much, a lot of
大いに|おおいに|very (much), greatly
覆う|おおう|cover, hide, conceal, permeate
大方|おおかた|people in general
大柄|おおがら|large, big
大きい|おおきい|big
大きな|おおきな|big
オーケー|オーケー|OK, all right
大げさ|おおげさ|exaggerated
オーケストラ|オーケストラ|orchestra
おおざっば|おおざっば|roughly, broadly
大筋|おおすじ|gross outline, rough scheme
大勢|おおぜい|a crowd of people, a great/large number of people
大空|おおぞら|the sky
大通り|おおどおり|main street
オートバイ|オートバイ|motorcycle
オートマチック／オートマティック|オートマチック／オートマティック|automatic
オートメーション|オートメーション|automation
オーバー|オーバー|overcoat
オーバーする|オーバーする|go over, go past
大幅|おおはば|wide range
オープン|オープン|open, openhearted
おおまさか|おおまさか|generous, rough, approximate
大水|おおみず|a heavy flood, flooding
大家|おおや|the owner of a rented house/apartment, a landlord, a landlady
公|おおやけ|public
大凡|おおよそ|almost, roughly, generally, approximately, about, as a rule, entirely, completely
丘|おか|hill, knoll
お母さん|おかあさん|mother
お母さん／さま|おかあさん／さま|mother
おかえり(なさい)|おかえり(なさい)|welcome home, welcome back
犯す|おかす|sin, commit a (crime/sin)
侵す|おかす|invade, infringe
おかげ|おかげ|the grace of, thanks to, owe to
おかけください|おかけください|Please sit down, please be seated, please take your seats
おかけさまで|おかけさまで|by the grace of, thanks to, owing to
お菓子|おかし|sweets, snacks
おかしい|おかしい|amusing, funny, strange, odd
おかず|おかず|a (side) dish
お金|おかね|money
お構いなく|おかまいなく|Please don't go to any trouble
拝む|おがむ|worship, pray, implore,see
お代わり|おかわり|a second helping, seconds
沖|おき|the offing, the open sea
補う|おぎなう|supplement, make up for, offset, compensate
お気の毒に|おきのどくに|I'm (so) sorry
起きる|おきる|wake up, get up/happen, occur, take place, be caused, originate
億|おく|hundred million
置く|おく|put
奥|おく|the inner part, deep, at the end, behind, bosom
屋外|おくがい|outdoors, in the open, out of doors
奥さん|おくさん|wife
奥さん／さま|おくさん／さま|(your/his) wife, housewife
屋上|おくじょう|roof
臆病|おくびょう|cowardice, timidity
遅らす|おくらす|delay, postpone, wait
送り仮名|おくりがな|conjugational kana added after a Chinese character
贈り物|おくりもの|present
送る|おくる|send off
贈る|おくる|give, present, confer, award
遅れ|おくれ|delay
遅れる|おくれる|be late for
おげんきで|おげんきで|Good luck!, Take care of yourself
お元気ですか|おげんきですか|How are you?
お子さん|おこさん|one's child
起こす|おこす|wake someone up
厳か|おごそか|solemn, stately
怠る|おこたる|neglect
行い|おこない|act, conduct
行う|おこなう|do, conduct
起こる|おこる|happen, occur
怒る|おこる|get angry (scold)
おごる|おごる|treat, proud, arrogant
押さえる|おさえる|hold, steady, stop, press, cover, catch, arrest, grasp
おさきに|おさきに|excuse me, but I must be going
幼い|おさない|young, immature
収／治／納まる|おさまる|pack, go, stay in, be settled
収／治／納める|おさめる|put, keep, obtain, gain / suppress, rule, reign /accept, supply, pay, finish
お産|おさん|give birth to a baby
伯父／叔父(さん)|おじ(さん)|uncle
惜しい|おしい|① 貴重で失いたくない。② あと一息のところで物事が成就せず残念だ。③ 心残りだ。いつまでも未練が残る。
おじいさん|おじいさん|old man, grandfather
押入れ|おしいれ|closet
教え|おしえ|teaching, lesson
教える|おしえる|to teach
押し込む|おしおむ|plunge, push into
御辞儀|おじぎ|a bow, curtsy
押し切る|おしきる|break down
伯父／叔父／小父さん|おじさん|uncle, mister
惜しむ|おしむ|spare, grudge, be reluctant to
おしゃべり|おしゃべり|chat, prattle, talkative
お邪魔します|おじゃまします|Hello! May I come in?
おしゃれ|おしゃれ|fashionable, smart
お嬢さん|おじょうさん|one's daughter, young lady
押し寄せる|おしよせる|crowd into, surge ahead
押す|おす|push, thrust, shove, press, stamp
雄|おす|male, bull
お世辞|おせじ|compliment, flattery
お世話になりました|おせわになりました|Thank you for your (kind) help/assistance
汚染|おせん|pollution, contamination
遅い|おそい|late, slow
襲う|おそう|attack
遅くとも|おそくとも|at the latest
恐らく|おそらく|probably, perhaps
恐れ|おそれ|fear, dread, terror, fright
恐れ入る|おそれいる|be sorry, be greatly impressed, be dumbfounded, be amazed, be fed up with
恐れる|おそれる|fear, scare, dread, be afraid of, reverence
恐ろしい|おそろしい|terrible, horrible, dreadful, fierce, ferocious, formidable, trememdous, awful
教わる|おそわる|learn, be taught
お大事に|おだいじに|Take (good) care of yourself
お互い(に)|おたがい(に)|each other, one another
お宅|おたく|one's home
おだてる|おだてる|flatter
穏やか|おだやか|calm, quiet, moderate, peaceful, gentle, mild-mannered
落ち込む|おちこむ|fall into, fall in, sink, in low spirits, be depressed/despondent
落ち着き|おちつき|composure, balance, calmness
落ち着く|おちつく|become composed, settle, calm, conclusion
落ち葉|おちば|fallen leaves
お茶|おちゃ|japanese tea
落ちる|おちる|fall
乙|おつ|the second best
お使い|おつかい|run on errands
おっかない|おっかない|scary
おっしゃる|おっしゃる|say (honorific)
夫|おっと|one's husband
お釣り|おつり|change
お手上げ|おてあげ|be done for, hopeless
お手洗い|おてあらい|restroom
お出掛け|おでかけ|go out
お手伝いさん|おてつだいさん|a maid, a domestic helper
音|おと|sound
お父さん|おとうさん|father
お父さん／さま|おとうさん／さま|father
弟|おとうと|younger brother
弟(さん)|おとうと(さん)|younger brother
おどおど|おどおど|tremble with fear
おどかす|おどかす|threaten, menace, scare, startle, frighten
男|おとこ|male
男の子|おとこのこ|boy
男の人|おとこのひと|male
落とし物|おとしもの|a lost article
落とす|おとす|drop, lose
おどす|おどす|threaten
訪れる|おどずれる|visit, come
おととい|おととい|the day before yesterday
おととし|おととし|the year before last
大人|おとな|adult
大人しい|おとなしい|well-behaved, gentle, quiet
お供／伴|おとも|go along with, accompany
踊り|おどり|dance
劣る|おとる|be inferior, behind, below, beneath
踊る|おどる|to dance
衰える|おとろえる|become weaker, decine
驚かす|おどろかす|surprise, take a person by surprise, astonish, amaze, shock, frighten, terrify
驚き|おどろき|surprise, amazement, wonder
驚く|おどろく|be surprised
同い年|おないどし|same age
お腹|おなか|stomach
同じ|おなじ|the same (as)
鬼|おに|an ogre, a devil, a demon, a fiend
お兄さん|おにいさん|elder brother
お姉さん|おねえさん|elder sister
お願いします|おねがいします|Please do…, I would like you to…, Could I ask you to…
各々|おのおの|each person, everyone
自ずから|おのずから|naturally, by itself
伯母／叔母(さん)|おば(さん)|aunt
おばあさん|おばあさん|old woman, grandmother
伯母／叔母／小母|おばさん|an aunt, a lady, Madam
おはよう(ございます)|おはよう(ございます)|Good morning
帯|おび|an obi, a broad sash (tied over a kimono), a belt
怯える|おびえる|be frightened
夥しい|おびただしい|a large quantity of, tremendous
脅かす|おびやかす|intimidate, terrify
お昼|おひる|noon, daytime, lunch
帯びる|おびる|wear, carry, be charged, take on
オフィス|オフィス|office
お袋|おふくろ|mother, mom, homemade
御風呂|おふろ|bath, bathroom
お弁当|おべんとう|lunch box
覚え|おぼえ|learning, memorising, memory
覚える|おぼえる|learn, remember, memorise
溺れる|おぼれる|drown
お参り|おまいり|visit (a person's grave)
おまえ|おまえ|you (from superior to subordinate)
おまけ|おまけ|addition, something extra
おまたせしました|おまたせしました|Thank you for waiting.
おまちください|おまちください|Please wait
おまちどおさま|おまちどおさま|Thank you for waiting.
お祭り|おまつり|festival
おまわりさん|おまわりさん|policeman
お見舞い|おみまい|inquiry, expression of one's sympathy
お宮|おみや|Japanese shrine
お土産|おみやげ|souvenir
おむつ|おむつ|diaper
おめでたい|おめでたい|happy, joyous, auspicious, simple, naïve
おめでとう(ございます)|おめでとう(ございます)|Congratulations!
お目にかかる|おめにかかる|meet, see (senior, superior)
主(な/に)|おも(な/に)|main, principal, mainly, chiefly
重い|おもい|heavy (weight), serious (illness)
思い掛けない|おもいがけない|unexpected, unforseen
思い込む|おもいこむ|imagine, assume, take… for…
思い出す|おもいだす|remember, recall
思い付き|おもいつき|idea, plan, casual idea
思いっ切り|おもいっきり|to one's heart's content, to the best of one's ability
思い付く|おもいつく|think of, hit on, fall on, strike on, occur to one, remember, guess, conceive
思い出|おもいで|a memory, recollections
思う|おもう|think
面白い|おもしろい|interesting, funny
重たい|おもたい|heavy, depressing
おもちゃ|おもちゃ|toy
表|おもて|front, right side, face
趣|おもむき|flavor, appearance, charm
赴く|おもむく|go, proceed, get
思わず|おもわず|unconciously, in spite of oneself, instinctively
重んじる／ずる|おもんじる／ずる|value, treasure, prize, make much of, think much of
おや|おや|Oh!
親|おや|parents, father, mother
親父|おやじ|one's father
お休み(なさい)|おやすみ(なさい)|Good night.
おやつ|おやつ|a snack, refreshments
親指|おやゆび|the thumb, the big toe
泳ぎ|およぎ|swimming
泳ぐ|およぐ|swim (in the pool)
およそ|およそ|almost, roughly, generally, approximately, about, as a rule, entirely, completely
及び|および|and, as well as
及ぶ|およぶ|be equal to, reach, extend
及ぼす|およぼす|exert, influence, affect
折|おり|on occasion, at a time of
檻|おり|cage
オリエンテーション|オリエンテーション|orientation
折り返す|おりかえす|fold back, turn down, return
織物|おりもの|textiles, (textile) fabrics, cloth
降りる|おりる|get off
下りる|下りる|get down (a mountain, descend)
オリンピック|オリンピック|the Olympic Games, the Olympics
居る|おる|to be (humble form of いる)
織る|おる|weave
折る|おる|bend, break
オルガン|オルガン|organ, pipe organ, harmonium, reed organ
俺|おれ|I (make speaker's term for I)
お礼|おれい|thanks, appreciation
折れる|おれる|be folded
オレンジ|オレンジ|orange
愚か|おろか|foolish, silly, stupid
卸す|おろす|wholesale
下ろす／降ろす|おろす|take down, lower, pull down, withdraw
おろそか|おろそか|negligent
お詫び|おわび|an apology
終わり|おわり|end
終わる|おわる|end, be over, finish
恩|おん|a favor, kindness, an obligaiton, moral indebtness
音|おん|sound, noise
音楽|おんがく|music
恩恵|おんけい|a favor, a benefit, a blessing
温室|おんしつ|greenhouse
温泉|おんせん|hot spring
温帯|おんたい|temperate zone
温暖|おんだん|warm, mild
御中|おんちゅう|郵便物で，会社・団体など個人名以外のあて名の下に添える語。「○○株式会社人事課―」
温度|おんど|temperature, heat
女|おんな|female
女の子|おんなのこ|girl
女の人|おんなのひと|woman, lady, female
女の人|おんなのひと|female
おんぶ|おんぶ|carry a person on one's back
オンライン|オンライン|online
温和|おんわ|mild, gentle
課|か|section, department, lesson
蚊|か|mosquito
可|か|may, will, fair, passable
画〜|が〜|something related to pictures
カー|カー|car
カーテン|カーテン|curtain
カード|カード|card
カーブ|カーブ|curve
カーペット|カーペット|carpet
貝|かい|shellfish, shell
害|がい|harm, damage
外〜|がい〜|outside
改悪|かいあく|change for the worse
会員|かいいん|member of society, member of association, membership
海運|かいうん|shipping, marine transportation
絵画|かいが|picture, painting, drawing
外貨|がいか|foreign currency
開会|かいかい|the opening of a meeting, the opening of a session
海外|かいがい|overseas
改革|かいかく|reform
貝殻|かいがら|shell, seashell
会館|かいかん|hall, assembly hall
海岸|かいがん|seashore, beach
外観|がいかん|outward appearance
会議|かいぎ|conference
会議室|かいぎしつ|conference room
階級|かいきゅう|class, rank
海峡|かいきょう|strait, channel
会計|かいけい|account, bill
解決|かいけつ|settlement, solution, resolution
会見|かいけん|interview
介護|かいご|nursing, care
会合|かいごう|gathering, meeting
外交|がいこう|diplomacy, foreign policy, diplomatic relations
外国|がいこく|foreign country
外国人|がいこくじん|foreigner
開催|かいさい|hold, open a meeting
改札|かいさつ|wicket, ticket gate
解散|かいさん|break up, disperse, dissolve
開始|かいし|an opening, a beginning, commencement
会社|かいしゃ|company
解釈|かいしゃく|interpretation
回収|かいしゅう|collection, withdrawal
改修|かいしゅう|repair
怪獣|かいじゅう|monster
外出|がいしゅつ|go out
解除|かいじょ|cancellation, release
外相|かいしょう|Foreign Minister
会場|かいじょう|meeting place, grounds, hall
海水浴|かいすいよく|sea bathing
回数|かいすう|the number of times
回数券|かいすうけん|coupon ticket, book of coupon tickets
害する|がいする|harm, spoil
快晴|かいせい|fine/fair weather
改正|かいせい|revision, reform, amendment
解説|かいせつ|explanation, commentary
概説|がいせつ|outline
改善|かいぜん|improvement, betterment
回送|かいそう|forward, deadhead, drive without passengers
階層|かいそう|story, level
改造|かいぞう|remodelling
開拓|かいたく|reclamation, cultivation, development, explore
会談|かいだん|conference, meeting, talk, summit
階段|かいだん|stairs
開通|かいつう|be opened to/for traffic
改定|かいてい|revision (of rules)
改訂|かいてい|revision (e.g. revised edition)
快適|かいてき|comfortable, pleasant
回転|かいてん|revolution, rotation, a roll, circulation, turnover
ガイド|ガイド|guide
解答／回答|かいとう|answer, solution
街道|かいどう|highway, thoroughfare, trunk road
街頭|がいとう|the street
該当|がいとう|applicable, relevant
ガイドブック|ガイドブック|guidebook
介入|かいにゅう|intervention
概念|がいねん|general idea, notion, concept
開発|かいはつ|development, exploitation
海抜|かいばつ|sea level
外部|がいぶ|the outside, the outside world
回復|かいふく|restoration, rehabilitation, recovery
介抱|かいほう|nursing, care
解放|かいほう|liberation, emancipation
開放|かいほう|open (a country, an economy)
解剖|かいぼう|dissection, autopsy
買い物|かいもの|shopping
買い物(する)|かいもの(する)|shop, purchase
海洋|かいよう|the ocean
概要|がいよう|outline, summary
外来|がいらい|foreign, something from outside
回覧|かいらん|circulation
概略|がいりゃく|outline, summary
海流|かいりゅう|ocean current
改良|かいりょう|improvement, reform
回路|かいろ|circuit
海路|かいろ|sea route
概論|かいろん|an outline, an introduction
会話|かいわ|conversation
飼う|かう|raise, keep
買う|かう|buy (something)
帰す|かえす|let (a person) go back
返す|かえす|return (something) to (someone)
却って|かえって|on the contrary, instead, rather, all the more
帰り|かえり|return
顧みる／省みる|かえりみる|reflect on, search one's soul
換える|かえる|exchange, change
代える／替える|かえる|subsitute, instead of, in place of
返る|かえる|return, be returned, regain, come back
変える|かえる|change
帰る|かえる|return, come back
顔|かお|face
家屋|かおく|a house
顔付き|かおつき|features, looks, expression
香り|かおり|fragrance, scent, smell, perfume, aroma, bouquet
画家|がか|a painter
課外|かがい|extracurricular
抱える|かかえる|hold, have, with, hire, employ, keep
価格|かかく|price, cost, value
化学|かがく|chemistry
科学|かがく|science
掲げる|かかげる|put up, display
かかと|かかと|heel
鏡|かがみ|mirror
輝く|かがやく|shine, twinkle, glitter, sparkle
係|かかり|a person in charge
掛かる|かかる|hang
掛かる／罹る|かかる|fall (lit. be taken) (ill)
係[わ]る|かかわる|have to do with, be involved in
鍵|かぎ|key
書留|かきとめ|registered mail, registered post, a registered leter
書き取り|かきとり|dictation
書き取る|かきとる|write down, take a dictation
垣根|かきね|a fence, a hedge
掻き回す|かきまわす|stir up
限り|かぎり|limit
限る|かぎる|limit, restrict
(汗を)かく|かく|sweat, perspire
(恥を)かく|かく|be disgraced, be humiliated
欠く|かく|break, chip, lack
掻く|かく|scratch, shovel away
格|かく|status, rank, rule
角|かく|angle, square
書く／描く|かく|write, spell, compose, draw, paint
核|かく|原子核。
家具|かぐ|furniture
嗅ぐ|かぐ|smell (at)
覚悟|かくご|preparedness, readiness, resolution
格差|かくさ|difference, gap
拡散|かくさん|diffusion
各自|かくじ|each person, everyone
学士|がくし|bachelor's degree
確実|かくじつ|certain, sure, reliable, sound (business)
学者|がくしゃ|scholar
各種|かくしゅ|various kinds
隔週|かくしゅう|biweekly, fortnightly
拡充|かくじゅう|expansion
学習|がくしゅう|study
学術|がくじゅつ|arts and sciences, learning, scholarship, one's studies
革新|かくしん|reform, innovation
確信|かくしん|conviction, confidence
隠す|かくす|conceal, hide, cover
学生|がくせい|student
学説|がくせつ|theory, doctrine
拡大|かくだい|magnification, expansion
各地|かくち|various places
拡張|かくちょう|extension, expansion, enlargement
確定|かくてい|(made a) decision
カクテル|カクテル|cocktail
角度|かくど|angle
獲得|かくとく|acquisition
確認|かくにん|confirmation
学年|がくねん|school year, grade
楽譜|がくふ|sheet music
学部|がくぶ|academic department, faculty
格別|かくべつ|particularly, especially
確保|かくほ|secure
革命|かくめい|revolution
学問|がくもん|learning, study, education
確率|かくりつ|probability
確立|かくりつ|establishment
学力|がくりょく|scholastic/academic ability
学歴|がくれき|one's school/academic background
隠れる|かくれる|be hidden, to hide
〜掛け|〜かけ|half-done, hanger
賭け|かけ|bet, wager, gamble
掛け〜|かけ〜|credit, installment, premium
影／陰|かげ|shade, shadow
崖|がけ|cliff
駆け足|かけあし|run, gallop
家計|かけい|family budget
掛け算|かけざん|multiplication
可決|かけつ|approval, adoption
〜か月／〜箇月|〜かげつ|months
かけっこ|かけっこ|race
駆ける|かける|run, gallop (verb)
賭ける|かける|bet, stake
掛ける|かける|hung
掛ける|かける|make (a phone call)
掛ける|かける|wear (spectacles)
掛ける|かける|lock (a door)
掛ける|かける|sit (on a chair)
掛ける|かける|cause someone worry
掛ける|かける|spend, cost
掛ける|かける|声を〜
掛ける|かける|音楽を〜
掛ける|かける|振り〜
欠ける|かける|break off, chip off, wane, lack
加減|かげん|adjustment, moderation, degree
過去|かこ|the past
籠|かご|basket, cage
下降|かこう|descent, fall, decline
火口|かこう|crater
加工|かこう|processing, manufacturing
化合|かごう|chemical compound
囲む|かこむ|encircle, surround, wall in, fence, besiege
傘|かさ|umbrella
火災|かさい|fire (disaster)
重なる|かさなる|to overlap
重ねる|かさねる|to stack, to pile up
かさばる|かさばる|be bulky
かさむ|かさむ|mount, run up
飾り|かざり|decoration
飾る|かざる|to decorate
火山|かざん|volcano
菓子|かし|sweets
貸し|かし|Loan
火事|かじ|Fire (incident)
家事|かじ|Housework
賢い|かしこい|Wise
かしこまりました|かしこまりました|yes sir, certainly, with pleasure
貸し出し|かしだし|a loan, lending
過失|かしつ|Mistake
果実|かじつ|Fruit
貸し間|かしま|Room for rent, room to let
貸家|かしや|House for rent, house to let
歌手|かしゅ|Singer
箇所|かしょ|Place
過剰|かじょう|Excess
箇条書き|かじょうがき|Itemization
頭|かしら|Head
齧る|かじる|to gnaw, crunch on, bite off, nibble
貸す|かす|To lend
数|かず|Number
ガス|ガス|gas
微か|かすか|faint, dim, slight
霞む|かすむ|be hazy (misty), mist over
擦る|かする|To rub
風邪|かぜ|Cold (illness)
風|かぜ|Wind
火星|かせい|Mars
課税|かぜい|Taxation
化石|かせき|Fossil
稼ぐ|かせぐ|To earn
カセット (テープ)|カセット (テープ)|Cassette (Tape)
下線|かせん|Underline
化繊|かせん|Synthetic fiber
河川|かせん|River
過疎|かそ|Depopulation
数える|かぞえる|To count
加速|かそく|Acceleration
家族|かぞく|Family
加速度|かそくど|Acceleration rate
ガソリン|ガソリン|gasoline
ガソリンスタンド|ガソリンスタンド|gas station
〜方|〜かた|polite form of person
〜方|〜かた|the way to (do)
型|かた|Model / Type
肩|かた|Shoulder
片〜|かた〜|one side
固い／硬い／堅い|かたい|hard
課題|かだい|subject, homework, assignment
〜難い|がたい|difficult/hard to do
片思い|かたおもい|Unrequited love
方々|かたがた|Various people
片仮名|かたかな|Katakana
片言|かたこと|Prattle
形|かたち|Shape, figure
片付く|かたづく|To be tidied up
片付け|かたづけ|Put in order, put away, tidy
片付ける|かたづける|To tidy up
刀|かたな|Sword
塊|かたまり|Lump / Mass
固まる|かたまる|Harden, become solid/stiff
片道|かたみち|One-way trip
傾く|かたむく|To tilt
傾ける|かたむける|To lean
固める|かためる|To solidify
片寄る|かたよる|lean, be prejudiced
語る|かたる|talk, tell, narrate, recite, show
傍ら|かたわら|the side, beside
花壇|かだん|Flower bed
価値|かち|Value
勝ち|かち|victory, win
〜がち|〜がち|tend to do
家畜|かちく|Livestock
課長|かちょう|Section manager
勝つ|かつ|To win
且つ|かつ|moreover
〜月|〜がつ|months of a year
学科|がっか|Subject
学会|がっかい|Academic meeting
がっかり|がっかり|be discouraged
活気|かっき|Vigor
画期|かっき|epoch-making
学期|がっき|Semester
楽器|がっき|Musical instrument
学級|がっきゅう|Class (in school)
担ぐ|かつぐ|To carry
がっくり|がっくり|be heartbroken
括弧|かっこ|Parentheses
格好|かっこう|Appearance
学校|がっこう|School
活字|かつじ|Printed type
合唱|がっしょう|Chorus
がっしり|がっしり|Solidly
合致|がっち|Agreement
がっちり|がっちり|Firmly
勝手|かって|One's own way
かつて|かつて|once, at once
勝手に|かってに|Arbitrarily
活動|かつどう|Activity
活発|かっぱつ|Active
活発|かっぱつ|Lively
カップ|カップ|Cup
合併|がっぺい|Merger
活躍|かつやく|Active participation
活用|かつよう|Application
活力|かつりょく|Vitality
家庭|かてい|Household
課程|かてい|Curriculum
過程|かてい|Process
仮定|かてい|Assumption
過程|かてい|Course / Process
仮定|かてい|Hypothesis
カテゴリー|カテゴリー|Category
角|かど|Corner
仮名|かな|Kana (Japanese syllabary)
叶う|かなう|To be fulfilled
叶える|かなえる|To fulfill
悲しい|かなしい|Sad
悲しむ|かなしむ|To grieve
仮名遣い|かなづかい|Kana usage
金槌|かなづち|Hammer
必ず|かならず|Certainly, surely, without fail
必ずしも|かならずしも|Not necessarily
かなり|かなり|Pretty, fairly, rather
かなわない|かなわない|Impossible
かにゅう|かにゅう|Entry
鐘|かね|bell
金|かね|metal, money
かねつ|加熱|Heating
予て|かねて|Previously
～かねない|～かねない|Might happen
金持ち|かねもち|Wealthy
兼ねる|かねる|Combine
可能|かのう|Possible
彼女|かのじょ|She
カバー|カバー|Cover
庇う|かばう|Protect
かばん|かばん|Bag
過半数|かはんすう|Majority
かび|かび|Mold
花瓶|かびん|vase
株|かぶ|Stock
株式|かぶしき|Share
被せる|かぶせる|Cover
かぶる|かぶる|Wear
かぶれる|かぶれる|get a rash
花粉|かふん|Pollen
かべ|かべ|Wall
貨幣|かへい|Currency
釜|かま|Kettle
かまいません|かまいません|care about, mind
かまいません|かまいません|I don't mind
構う|かまう|Mind
構え|かまえ|structure, stance
構える|かまえる|Prepare
我慢|がまん|Patience
紙|かみ|Paper
髪|かみ|Hair
神|かみ|God
上|かみ|Upper
加味|かみ|Consideration
噛み切る|かみきる|Bite off
紙屑|かみくず|Waste paper
神様|かみさま|Deity
剃刀|かみそり|Razor
過密|かみつ|Overcrowded
雷|かみなり|Thunder
髪の毛|かみのけ|Hair strand
噛む|かす|Chew
ガム|ガム|Gum
カムバック|カムバック|Comeback
カメラ|カメラ|Camera
カメラマン|カメラマン|Cameraman
科目|かもく|Subject
かもしれない|かもしれない|Might be
貨物|かもつ|Cargo
粥|かゆ|Porridge
かゆい|かゆい|Itchy
通う|かよう|Commute
歌謡|かよう|Song
火曜|かよう|Tuesday
火曜日|かようび|Tuesday
殻|から|Shell
空|から|Empty
柄|がら|Pattern
カラー|カラー|Color
辛い|からい|Spicy
からかう|からかう|Tease
ガラス|ガラス|Glass
体|からだ|Body
体付き|からだつき|Physique
空っぽ|からっぽ|Empty
絡む|からむ|Entangle
借り|かり|Borrow
狩り|かり|Hunt
仮|かり|Temporary
借りる|かりる|To borrow
刈る|かる|To cut
～がる|～がる|Feeling like
軽い|かるい|Light
かるた|かるた|Card game
カルテ|カルテ|Medical record
彼|かれ|He
カレー|カレー|Curry
ガレージ|ガレージ|Garage
彼ら|かれら|They
枯れる|かれる|Wither
涸れる|かれる|Dry up
カレンダー|カレンダー|Calendar
過労|かろう|Overwork
かろうじて|かろうじて|Barely
カロリー|カロリー|Calorie
皮/革|かわ|Skin/Leather
側|～がわ|Side
かわいい|かわいい|Cute
かわいがる|かわいがる|Adore
かわいそう|かわいそう|Pitiful
かわいらしい|かわいらしい|Lovely
乾かす|かわかす|Dry
乾く/渇く|かわく|Dry/thirsty
かわず|かわず|Frog
交わす|かわせ|Exchange
為替|かわせ|Foreign exchange
瓦|かわら|Tile
